Prognoseraum,Bezeichnung,Anteil,year
0304,Südliches Pankow,88.30128205128206,2010
0305,Südliches Weißensee,86.2533692722372,2010
0306,Nördlicher Prenzl. Berg,89.73509933774834,2010
0307,Südlicher Prenzl. Berg,88,2010
0401,Charlottenburg-Nord,82.02247191011236,2010
0402,Westend,94.7867298578199,2010
0403,Charlottenburg,88.50889192886457,2010
0404,Schmargendorf,90.2439024390244,2010
0405,Wilmersdorf,89.0625,2010
0406,Forst Grunewald,0,2010
0501,SPA 1,84.25925925925925,2010
0502,SPA 2,85.2991452991453,2010
0503,SPA 3,86.4321608040201,2010
0504,SPA 4,97.03703703703704,2010
0601,Region A,92.44897959183673,2010
0602,Region B,91.8762088974855,2010
0603,Region C,93.72759856630825,2010
0604,Region D,93.03571428571429,2010
0701,Schöneberg-Nord,78.75,2010
0702,Schöneberg-Süd,88.73239436619718,2010
0703,Friedenau,92.26666666666667,2010
0704,Tempelhof,88.47117794486215,2010
0705,Mariendorf,90,2010
0706,Marienfelde,90.04739336492891,2010
0707,Lichtenrade,90.20618556701031,2010
0801,Neukölln,75.29118136439268,2010
0802,Britz-Buckow,81.93384223918575,2010
0803,Gropiusstadt,85.90604026845638,2010
0804,Buckow Nord / Rudow,86.35097493036211,2010
0901,Treptow-Köpenick 1,89.25233644859813,2010
0902,Treptow-Köpenick 2,82.06521739130434,2010
0903,Treptow-Köpenick 3,92.01101928374656,2010
0904,Treptow-Köpenick 4,85.57213930348259,2010
0905,Treptow-Köpenick 5,92.2360248447205,2010
1001,Marzahn,85.03225806451613,2010
1002,Hellersdorf,86.74911660777386,2010
1003,Biesdorf,94.82758620689656,2010
1004,Kaulsdorf / Mahlsdorf,89.1025641025641,2010
1101,Hohenschönhausen Nord,87.1264367816092,2010
1102,Hohenschönhausen Süd,90.68100358422939,2010
1103,Lichtenberg Nord,85.75197889182058,2010
1104,Lichtenberg Mitte,86.92098092643052,2010
1105,Lichtenberg Süd,91.37931034482759,2010
1210,Reinickendorf-Ost,85.54913294797687,2010
1221,Tegel,86.66666666666667,2010
1222,Heiligensee-Konradshöhe,92.3076923076923,2010
1223,Frohnau-Hermsdorf,93.25842696629213,2010
1230,Waidmannslust,81.86195826645265,2010
0101,Zentrum,80.79207920792079,2009
0102,Moabit,76.15062761506276,2009
0103,Gesundbrunnen,78,2009
0104,Wedding,78.23343848580441,2009
0201,Kreuzberg Nord,74.5575221238938,2009
0202,Kreuzberg Süd,81.05906313645622,2009
0203,Kreuzberg Ost,84.86486486486487,2009
0204,Friedrichshain West,89.49416342412451,2009
0205,Friedrichshain Ost,88.34745762711864,2009
0301,Buch,83.17757009345794,2009
0302,Nördliches Pankow,91.84210526315789,2009
0303,Nördliches Weißensee,91.72661870503597,2009
0304,Südliches Pankow,89.6875,2009
0305,Südliches Weißensee,89.1025641025641,2009
0306,Nördlicher Prenzl. Berg,87.8839590443686,2009
0307,Südlicher Prenzl. Berg,89.39393939393939,2009
