Prognoseraum,Bezeichnung,Anteil,year
0905,Treptow-Köpenick 5,95.7703927492447,2006
1001,Marzahn,82.01634877384195,2006
1002,Hellersdorf,84.10041841004184,2006
1003,Biesdorf,93.27731092436974,2006
1004,Kaulsdorf / Mahlsdorf,91.32420091324201,2006
1101,Hohenschönhausen Nord,90.95127610208817,2006
1102,Hohenschönhausen Süd,91.76029962546816,2006
1103,Lichtenberg Nord,81.37755102040816,2006
1104,Lichtenberg Mitte,84.48753462603878,2006
1105,Lichtenberg Süd,91.08910891089108,2006
1210,Reinickendorf-Ost,78.6096256684492,2006
1221,Tegel,82.09718670076727,2006
1222,Heiligensee-Konradshöhe,92.44444444444444,2006
1223,Frohnau-Hermsdorf,89.47368421052632,2006
1230,Waidmannslust,78.91061452513966,2006
0101,Zentrum,87,2018
0102,Moabit,86.9,2018
0103,Gesundbrunnen,82.4,2018
0104,Wedding,80.1,2018
0201,Kreuzberg Nord,86.6,2018
0202,Kreuzberg Süd,93.6,2018
0203,Kreuzberg Ost,94.7,2018
0204,Friedrichshain West,88.6,2018
0205,Friedrichshain Ost,93.5,2018
0301,Buch,87.7,2018
0302,Nördliches Pankow,96,2018
0303,Nördliches Weißensee,92.8,2018
0304,Südliches Pankow,95.9,2018
0305,Südliches Weißensee,93.3,2018
0306,Nördl. Prenzl. Berg,95.5,2018
0307,Südl. Prenzl. Berg,95,2018
0401,Charlottenburg-Nord,85.7,2018
0402,Westend,85.9,2018
0403,Charlottenburg,87.6,2018
0404,Schmargendorf,91.1,2018
0405,Wilmersdorf,89.4,2018
0406,Forst Grunewald,0,2018
0501,SPA 1,78.2,2018
0502,SPA 2,80,2018
0503,SPA 3,89.9,2018
0504,SPA 4,88.2,2018
0601,Region A,94.5,2018
0602,Region B,90.2,2018
0603,Region C,90,2018
0604,Region D,92.6,2018
0701,Schöneberg-Nord,85.4,2018
0702,Schöneberg-Süd,94,2018
0703,Friedenau,92.2,2018
0704,Tempelhof,91.1,2018
0705,Mariendorf,89.5,2018
0706,Marienfelde,83.8,2018
0707,Lichtenrade,90.7,2018
0801,Neukölln,86.4,2018
0802,Britz-Buckow,89.4,2018
0803,Gropiusstadt,88.9,2018
0804,Buckow Nord / Rudow,90.1,2018
0901,Treptow-Köpenick 1,94,2018
0902,Treptow-Köpenick 2,85.9,2018
0903,Treptow-Köpenick 3,95,2018
0904,Treptow-Köpenick 4,93.7,2018
0905,Treptow-Köpenick 5,92.6,2018
1001,Marzahn,88,2018
1002,Hellersdorf,86.1,2018
1003,Biesdorf,91.4,2018
1004,Kaulsdorf / Mahlsdorf,97.2,2018
1101,Hohenschönhausen Nord,85.7,2018
1102,Hohenschönhausen Süd,85.5,2018
1103,Lichtenberg Nord,88.5,2018
1104,Lichtenberg Mitte,92.1,2018
1105,Lichtenberg Süd,97.2,2018
1210,Reinickendorf-Ost,86.9,2018
1221,Tegel,83.6,2018
1222,Heiligensee-Konradshöhe,93.5,2018
1223,Frohnau-Hermsdorf,94.4,2018
1230,Waidmannslust,81.7,2018
0101,Zentrum,86.24595469255664,2008
0102,Moabit,80.23850085178876,2008
0103,Gesundbrunnen,68.02816901408451,2008
0104,Wedding,74.10358565737052,2008
0201,Kreuzberg Nord,80.32128514056225,2008
0202,Kreuzberg Süd,84.99025341130604,2008
0203,Kreuzberg Ost,87.78054862842893,2008
0204,Friedrichshain West,89.64143426294821,2008
0205,Friedrichshain Ost,92.56360078277886,2008
0301,Buch,93.26923076923077,2008
0302,Nördliches Pankow,96.93396226415095,2008
0303,Nördliches Weißensee,92.1311475409836,2008
0304,Südliches Pankow,95.05988023952096,2008
0305,Südliches Weißensee,92.28650137741047,2008
0306,Nördlicher Prenzl. Berg,94.72789115646259,2008
0307,Südlicher Prenzl. Berg,97.31543624161074,2008
0401,Charlottenburg-Nord,84.40366972477064,2008
0402,Westend,91.92307692307692,2008
0403,Charlottenburg,84.89042675893887,2008
0404,Schmargendorf,84.94623655913979,2008
0405,Wilmersdorf,85.99221789883268,2008
0406,Forst Grunewald,0,2008
0501,SPA 1,81.09919571045576,2008
0502,SPA 2,82.72583201267828,2008
0503,SPA 3,84.82142857142857,2008
0504,SPA 4,92.45283018867924,2008
0601,Region A,91.03313840155946,2008
0602,Region B,89.2249527410208,2008
0603,Region C,92.62166405023548,2008
